sitename :,bullshoals
years: ,2013,2018
lat: ,36.562833,lon: ,-93.06663

date,tmin,tmax,vpd,sm,srad,dl,swe,prcp,MAP_worldclim,MAT_worldclim,GLDAS_soilfraction_clay,GLDAS_soilfraction_sand,GLDAS_soilfraction_silt,GLDAS_porosity,GLDAS_soiltex,gcc,rcc,gcc_lowess,rcc_lowess,gcc_norm,rcc_norm,gcc_lowess_norm,rcc_lowess_norm
2013-03-21,-3.64,6.03,199.25994358034265,1.2918444444444444,277.48,11.960016666666666,0.0,14.89,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-22,-1.9,2.54,93.63473135979962,1.6934222222222222,192.13,11.999955555555555,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-23,-0.06,4.21,101.26169185293884,1.5821222222222222,138.81,12.039894444444446,0.0,2.88,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-24,0.97,4.21,80.79478747232872,1.570377777777778,146.8,12.079827777777776,0.0,0.73,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-25,-3.9,1.63,104.42669122084214,1.4967333333333337,249.09,12.11974722222222,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-26,-3.87,7.43,235.8622772526589,1.3979444444444449,436.53,12.159644444444444,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-27,-5.37,12.92,390.6446810192088,1.2991555555555556,523.62,12.199516666666668,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-28,-0.83,19.5,598.3854853123071,1.200366666666667,524.47,12.239352777777777,0.0,0.14,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-29,5.54,18.78,510.46255462385534,1.1324666666666665,332.81,12.27915,0.0,2.37,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-30,8.8,20.52,534.0785978504289,1.141122222222222,302.72,12.318897222222224,0.0,9.66,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-31,7.94,19.89,520.4060288640339,1.3901444444444442,407.87,12.358591666666667,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-01,3.68,15.86,413.2590708276852,1.3064333333333331,419.58,12.398222222222222,0.0,1.89,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-02,2.72,9.19,189.2633176347533,1.2857222222222222,199.58,12.43778611111111,0.0,3.68,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-03,0.34,10.74,279.241057572199,1.3225777777777776,300.32,12.477269444444444,0.0,2.19,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-04,1.41,11.68,294.29166827515337,1.3056777777777775,396.56,12.51667222222222,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-05,0.72,19.92,610.227468528537,1.2147333333333334,528.71,12.555983333333334,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-06,3.29,23.47,760.3816048196187,1.123788888888889,530.43,12.595194444444443,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-07,9.13,25.07,789.5397376284409,1.0328444444444445,480.98,12.6343,0.0,1.04,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-08,12.02,24.4,684.3329701799512,0.9765666666666666,421.62,12.673291666666666,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-09,14.43,26.35,748.5057432537606,0.8860777777777779,403.78,12.712161111111111,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-10,15.02,24.55,596.7472108042432,0.8148777777777777,259.59,12.7509,0.0,19.15,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-11,1.83,12.88,328.94339642459136,1.397722222222222,422.56,12.789502777777775,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-12,1.05,14.33,390.704938228656,1.320955555555556,472.63,12.827955555555556,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-13,1.97,20.0,606.123024444424,1.2441888888888888,535.3,12.866255555555554,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-14,5.19,25.48,856.5749203291996,1.167422222222222,543.98,12.904391666666664,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-15,12.13,26.38,815.6934027783964,1.0906555555555555,470.19,12.942352777777778,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-04-16,12.06,25.51,757.2923508513452,1.0138888888888888,453.65,12.980136111111111,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
